,gene_name,Python_coef,aod_coef,coef_diff,Python_intercept,aod_intercept,intercept_diff,Python_phi,aod_phi,phi_diff,Python_NLL,aod_NLL,NLL_diff
56,TPM1,0.0353806332974947,0.0356799956927348,0.000299362395240102,3.8014095018418246,3.80119067090661,0.00021883093521468666,0.6688647384643575,0.668784127042753,8.061142160442625e-05,129.41607840502533,129.41607895826195,-5.532366174065828e-07
57,TPI1,0.5128305262799966,0.512664535226662,0.00016599105333459097,5.13573358887167,5.13559957489946,0.0001340139722101341,0.0123731689453126,0.0123766739817186,3.505036406000611e-06,1955.833455138274,1955.833463312721,-8.17444697531755e-06
58,TNS4,-3.52322865520245,-3.52748948799587,0.004260832793419933,5.081366853254657,5.09098386289608,0.009617009641423202,0.9999999952316284,0.999999975010024,2.022160439096865e-08,80.47244605763011,80.47282249369698,-0.00037643606687254305
59,TNPO2,-0.5745951778757916,-0.57420523038976,0.00038994748603160545,1.0900448854847369,1.08998455624507,6.032923966681203e-05,0.7417823181152368,0.741835319141856,5.3001026619203806e-05,434.1295320275695,434.1295374793309,-5.451761410313338e-06
60,TNPO1,-0.0017093225618285,-0.0019462111139633,0.0002368885521347999,1.1560892343139413,1.1562815471733,0.0001923128593586121,0.2514263000488286,0.251371173112365,5.512693646358979e-05,2809.60954473723,2809.609552879999,-8.142768820107449e-06
61,TMEM94,-0.1637919153386783,-0.165093099553977,0.0013011842152987063,5.771409243074416,5.77289501357989,0.001485770505474271,0.9999999237060546,0.999996697566651,3.2261394036225965e-06,19.99193969628557,19.99194426451557,-4.568230000501217e-06
62,TMEM43,-0.8956251716446206,-0.895588181235956,3.699040866467218e-05,6.254575564528048,6.25436548299396,0.00021008153408796915,0.3059473169088371,0.306079549470763,0.0001322325619259046,131.57106841127114,131.57106887452528,-4.632541390492406e-07
63,TMEM202-AS1,0.5775620770533969,0.577671859899465,0.00010978284606810718,0.3342710236669902,0.334350201877388,7.917821039782336e-05,0.8334938049316433,0.833517714849766,2.390991812273313e-05,279.640196573297,279.64019749536845,-9.220714787261386e-07
64,TMEM176A,1.4555016060142585,1.65152667761047,0.19602507159621152,6.0597641270206815,5.93780253796226,0.12196158905842136,0.0001562500000001,1.00043601811949e-09,0.00015624899956408187,18.8292259843997,18.835940565947997,-0.006714581548298071
65,TMCO1,0.0962965545370327,0.0963498809128563,5.332637582360078e-05,6.63871159334223,6.63842675417125,0.0002848391709804332,0.3548932147026071,0.35483364910603,5.9565596577104696e-05,155.48778689424765,155.48778761496698,-7.207193277736224e-07
